city_code,temperature
DXB,7.4
LHR,31.26
ATL,29.15
CDG,19.45
DXB,2.78
SYD,6.8
ORD,19.4
DXB,15.22
ATL,15.23
CDG,9.05
LHR,-5.94
ATL,-4.53
ATL,27.59
ORD,29.79
HND,30.22
CDG,11.36
JFK,32.1
ATL,27.7
HND,7.29
JFK,0.04
CDG,22.79
LAX,22.64
SYD,30.06
HND,-7.73
PEK,5.87
LAX,-8.43
SYD,-0.53
ORD,7.98
DXB,-4.46
LHR,27.0
PEK,-0.87
ORD,8.51
CDG,26.08
ORD,-4.75
DXB,17.88
CDG,32.32
PEK,10.44
DXB,0.81
JFK,32.44
LHR,-7.56
PEK,4.02
JFK,26.78
SYD,-3.07
PEK,-6.22
SYD,10.61
CDG,4.93
JFK,25.87
LHR,5.17
DXB,20.14
ATL,15.21
ORD,16.86
LAX,13.0
LHR,-3.9
JFK,-7.21
ATL,14.48
LHR,19.22
JFK,22.64
HND,22.5
HND,23.31
SYD,-9.09
LHR,0.06
HND,22.83
JFK,-4.44
SYD,-1.6
JFK,19.68
SYD,26.37
LHR,-2.69
ATL,14.79
DXB,-1.84
PEK,-0.61
ATL,11.69
CDG,20.32
JFK,15.84
CDG,-5.84
ATL,2.85
SYD,32.22
PEK,18.24
PEK,19.62
LAX,-0.5
PEK,33.12
DXB,-0.71
PEK,1.3
ATL,12.95
LAX,12.32
ATL,-8.53
ATL,23.47
ORD,-5.66
LAX,-7.57
ATL,12.82
ORD,-7.83
ORD,-0.97
LAX,7.59
CDG,17.14
SYD,25.22
DXB,3.03
SYD,11.2
PEK,32.93
DXB,7.56
PEK,21.93
ATL,2.21
JFK,18.04
LAX,26.21
DXB,31.14
DXB,32.19
ATL,3.59
CDG,-0.96
ORD,26.63
ATL,18.33
HND,8.65
ORD,-8.37
LAX,3.85
ORD,-4.99
CDG,12.14
ORD,27.23
LAX,4.07
CDG,6.09
SYD,25.24
DXB,10.52
DXB,20.07
PEK,-1.51
SYD,1.29
SYD,18.57
ORD,-4.96
DXB,-2.11
LAX,4.29
LHR,-1.88
LHR,33.9
CDG,1.53
DXB,32.96
DXB,28.09
LHR,4.97
DXB,14.7
ORD,5.21
HND,21.64
JFK,6.29
SYD,10.98
PEK,22.35
CDG,8.74
HND,21.02
LHR,6.66
SYD,7.97
DXB,4.46
PEK,34.52
DXB,12.72
LAX,-0.01
LAX,15.52
PEK,11.11
PEK,25.05
LHR,32.11
PEK,-5.02
ORD,34.15
DXB,-2.58
HND,2.3
ATL,24.89
PEK,-3.0
CDG,26.79
LAX,20.31
ORD,26.24
SYD,15.35
ATL,34.29
HND,16.68
ATL,7.8
PEK,33.49
LHR,-6.69
LAX,13.16
LAX,18.44
SYD,5.54
LHR,-5.86
DXB,8.45
JFK,26.48
ORD,15.7
LAX,24.1
CDG,22.3
LAX,2.9
ATL,1.41
LAX,25.59
LAX,-2.34
JFK,15.44
JFK,33.04
HND,13.65
DXB,26.3
CDG,1.53
LAX,-7.39
LAX,5.67
ORD,15.87
JFK,18.8
CDG,14.13
SYD,9.48
HND,34.34
DXB,20.98
LHR,32.92
DXB,-2.05
ATL,34.98
LAX,21.64
HND,33.74
ATL,17.27
CDG,-3.07
LHR,5.66
JFK,-7.62
HND,-3.18
HND,34.93
LAX,31.21
PEK,30.58
HND,-9.91
ORD,10.27
LHR,25.19
LHR,0.2
ORD,8.9
SYD,-0.78
ORD,21.17
ORD,21.68
LHR,2.72
DXB,11.48
LHR,10.33
PEK,25.01
LAX,20.38
ATL,-6.93
DXB,-3.2
JFK,27.8
ATL,33.45
LAX,18.64
PEK,6.41
PEK,-0.05
JFK,23.46
DXB,18.73
SYD,30.9
ORD,30.64
DXB,3.82
SYD,26.13
PEK,1.41
LHR,25.19
LAX,-2.44
JFK,5.65
LAX,-6.13
CDG,3.31
CDG,4.32
DXB,20.09
PEK,22.19
PEK,16.46
ORD,24.65
ORD,10.32
ORD,18.26
LHR,6.17
ATL,13.46
HND,-3.65
ATL,17.49
LAX,-0.78
ATL,10.74
LHR,19.95
LAX,9.25
ATL,0.04
LHR,19.98
HND,28.36
ATL,12.52
LHR,15.09
ORD,7.59
PEK,16.24
ORD,12.29
PEK,23.6
JFK,0.81
JFK,11.88
JFK,4.23
HND,-5.75
ORD,7.39
PEK,32.89
LHR,10.72
LAX,14.55
LHR,23.4
LAX,34.32
CDG,8.53
LHR,13.3
ATL,33.58
ATL,9.3
